time	V(n003)	V(n005)
0.000000000000000e+000	2.358670e-005	1.970519e-001
9.999999824516700e-015	2.360501e-005	1.970522e-001
1.999999964903340e-014	2.362354e-005	1.970526e-001
3.999999929806680e-014	2.366154e-005	1.970533e-001
7.999999859613360e-014	2.374138e-005	1.970548e-001
1.599999971922672e-013	2.391606e-005	1.970582e-001
3.199999943845344e-013	2.432024e-005	1.970667e-001
6.399999887690688e-013	2.527893e-005	1.970886e-001
1.000000000000000e-012	2.649993e-005	1.971183e-001
1.191999996630721e-012	2.685642e-005	1.971310e-001
1.447999992138348e-012	2.726134e-005	1.971474e-001
1.959999983153603e-012	2.787749e-005	1.971782e-001
2.983999965184113e-012	2.862835e-005	1.972320e-001
5.031999929245134e-012	2.934188e-005	1.973194e-001
6.911948559984660e-012	2.961327e-005	1.973794e-001
9.666795814689596e-012	2.984798e-005	1.974415e-001
1.287477733452873e-011	3.018686e-005	1.974944e-001
1.849412946573646e-011	3.089105e-005	1.975646e-001
2.663713594362835e-011	3.193883e-005	1.976444e-001
4.292314889941213e-011	3.393394e-005	1.977619e-001
7.549517481097970e-011	3.765676e-005	1.979124e-001
1.359060180396305e-010	4.413501e-005	1.980668e-001
1.948941974788993e-010	5.001964e-005	1.981383e-001
2.867259308050254e-010	5.827389e-005	1.981735e-001
4.108404015847691e-010	6.745985e-005	1.981624e-001
6.590693431442564e-010	7.970547e-005	1.980611e-001
1.042382278078687e-009	8.688281e-005	1.978369e-001
1.476205453055155e-009	8.070597e-005	1.975376e-001
2.023271849089660e-009	5.755184e-005	1.971271e-001
2.568127949857054e-009	2.440725e-005	1.967070e-001
3.179791957315922e-009	-1.916995e-005	1.962134e-001
3.759640549172396e-009	-6.585071e-005	1.956101e-001
4.116956612591477e-009	-1.024263e-004	1.950007e-001
4.409918377286281e-009	-1.434158e-004	1.942464e-001
4.710296015724954e-009	-1.978909e-004	1.933048e-001
5.052217172037010e-009	-2.706214e-004	1.922084e-001
5.396949588854965e-009	-3.459549e-004	1.912750e-001
5.907487549504422e-009	-4.408290e-004	1.904243e-001
6.378028883246575e-009	-4.872527e-004	1.904301e-001
6.867466801764291e-009	-4.598203e-004	1.916588e-001
7.401639606610414e-009	-3.127713e-004	1.947494e-001
7.900213681521541e-009	-3.535044e-005	1.996528e-001
8.362035372002607e-009	3.683467e-004	2.061761e-001
8.773287124577826e-009	8.561042e-004	2.134452e-001
9.218035749395519e-009	1.496500e-003	2.222261e-001
9.673983889081281e-009	2.221297e-003	2.314122e-001
1.034873941943179e-008	3.306114e-003	2.445859e-001
